,case0,case1,case2,case3,case4,case5,case6,case7,case8,case9,case10,case11,case12,case13,case14,case15
10,5.792166739010223,4.907638828615669,5.792166739010223,7.4584353171044695,5.792166739010223,4.907638828615669,6.062758724193897,4.907638828615669,7.4584353171044695,5.792166739010223,7.4584353171044695,6.062758724193897,4.907638828615669,6.062758724193897,7.4584353171044695,6.062758724193897
11,6.071753475204444,5.376303621392889,5.939948423265996,7.56168863259421,6.071753475204444,5.278867760816908,6.554879072790201,5.376303621392889,7.406967253485032,5.939948423265996,7.56168863259421,6.452918137403812,5.278867760816908,6.554879072790201,7.406967253485032,6.452918137403812
12,8.069249189557754,7.574149097619153,5.145982213535318,9.247092445061837,8.069249189557754,6.285487068434447,8.467771040694581,7.574149097619153,4.712846449858553,5.145982213535318,9.247092445061837,5.686547656938218,6.285487068434447,8.467771040694581,4.712846449858553,5.686547656938218
13,9.34175475263923,8.692372650298262,4.96098516762514,9.465611892583471,0.0,7.353694468943153,8.922375318131111,0.0,5.324786244945316,0.0,0.1439300132482373,7.183491727185468,0.0,0.08540272402485982,0.00037228559602198175,0.09769052020286396
14,10.219107682722225,10.28015709395696,2.5508812087097663,10.626056646740762,0.0,3.3563300411514088,10.291860366886594,0.0,2.474187528272136,0.0,0.0,3.08671285511824,0.0,0.0,0.0,0.0
15,11.451246864312846,11.305774404496242,10.15239443009143,11.530175700977516,0.0,8.98427371596685,11.30056187381625,0.0,10.05782159166785,0.0,0.0,8.709679207869684,0.0,0.0,0.0,0.0
16,12.434576931238947,11.747495377393973,15.2900452493294,12.548393919265877,14.206972184174536,12.480884461700207,11.742866567225555,10.79719202694164,15.222882778095805,11.681691065011993,14.231228401714695,12.282024830565927,8.760225761407089,10.786161097902387,11.67372366113852,8.774401813404001
17,11.478577517497495,11.276751592938249,18.468328334986783,11.555434653902097,18.46717898080404,14.06406604760183,11.272461050333126,14.52921793215102,18.46301439969568,16.852491822740888,18.47173519357092,14.03756282748667,12.947437733720065,14.561750114429051,16.84527596419177,12.894850471296204
18,7.986128435251778,6.878464297834906,10.776264418197782,8.063516453341153,8.297854378176005,9.322624289540704,6.8721371723058615,8.621608391787355,10.835234458076927,13.753316869975322,8.231839492919088,9.437704854374859,11.59249291330243,8.627616156658355,13.75856710089674,11.627529804212621
19,-5.290598896479094e-10,1.5319232179081266e-05,-1.1544092071158475e-11,-1.5265802337516288e-10,-1.3360189690669877e-11,1.2747006909730185e-07,6.219825817828373e-05,-2.0294180988478242e-08,4.77184966887756e-11,-6.148531510319355e-11,4.830674575628802e-11,5.638498842414075e-07,-6.697006974962227e-06,-4.0190422198604914e-08,-5.814255327196705e-12,-2.4474591162754193e-06
20,-2.26797621120708e-19,-2.290519855579476e-19,-4.293036359877243e-20,1.0421363160244263e-18,0.0,-2.320564347897109e-19,5.731142587564732e-19,-1.1753959398873318e-18,3.840511696143623e-20,0.0,0.0,1.5947212444470404e-19,-2.9038909526467677e-19,-4.3055826218181405e-19,-4.1172060667350545e-19,-2.889855985323124e-18
21,1.4142118232241873e-19,-9.675190413030088e-20,2.6003363473551204e-19,-8.571642553968498e-19,2.6855512920635053e-18,2.891293508905468e-20,-1.0787676604845164e-18,0.0,2.9211495591398038e-21,-4.007295864558748e-20,-7.556250951701866e-20,7.33598826421548e-20,0.0,-3.671786238228413e-20,-4.762073745835923e-19,-4.47554497324306e-19
22,0.0,2.0776742640013053e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.750974888985543e-19,0.0,-8.214963307811397e-21
23,-4.3391829464542287e-17,-1.987791048642804e-15,-2.871453571573626e-17,-4.039088984379577e-17,-4.6862318767465294e-17,-1.6517722453927484e-15,-5.898916684507178e-16,1.4994742984672779e-15,-2.4581592033784197e-17,-2.264979668012515e-17,-2.9603085077654446e-17,-1.6721073024206575e-15,-1.7608557433866845e-15,-3.5246094259288644e-16,-1.3882497475661831e-16,-6.951108854034157e-16
