,power_base,power_down,power_up,time_base,time_down,time_up
96,-7.432712691332219e-08,-7.432712691332219e-08,-7.432712691332219e-08,7171891.2,7171891.2,7171891.2
97,-7.432262300913177e-08,-7.432262300913177e-08,-7.432262300913177e-08,7171898.4,7171898.4,7171898.4
98,-7.431810156141767e-08,-7.431810156141767e-08,-7.431810156141767e-08,7171905.600000001,7171905.600000001,7171905.600000001
99,-7.431356262891938e-08,-7.431356262891938e-08,-7.431356262891938e-08,7171912.8,7171912.8,7171912.8
100,-7.430900633246799e-08,-7.430900633246799e-08,-7.430900633246799e-08,7171920.0,7171920.0,7171920.0
101,-7.430443281523847e-08,-7.430443281523847e-08,-7.430443281523847e-08,7171927.2,7171927.2,7171927.2
102,-7.42998422038395e-08,-7.42998422038395e-08,-7.42998422038395e-08,7171934.4,7171934.4,7171934.4
103,-7.429523462983526e-08,-7.429523462983526e-08,-7.429523462983526e-08,7171941.600000001,7171941.600000001,7171941.600000001
104,-7.42906102322307e-08,-7.42906102322307e-08,-7.42906102322307e-08,7171948.8,7171948.8,7171948.8
105,-7.428596913760285e-08,-7.428596913760285e-08,-7.428596913760285e-08,7171956.0,7171956.0,7171956.0
106,-7.428131148079649e-08,-7.428131148079649e-08,-7.428131148079649e-08,7171963.2,7171963.2,7171963.2
107,-7.427663739498969e-08,-7.427663739498969e-08,-7.427663739498969e-08,7171970.4,7171970.4,7171970.4
108,-7.427194701169447e-08,-7.427194701169447e-08,-7.427194701169447e-08,7171977.600000001,7171977.600000001,7171977.600000001
109,-7.426724046241165e-08,-7.426724046241165e-08,-7.426724046241165e-08,7171984.8,7171984.8,7171984.8
110,-7.426251788028658e-08,-7.426251788028658e-08,-7.426251788028658e-08,7171992.0,7171992.0,7171992.0
111,-7.425777939845299e-08,-7.425777939845299e-08,-7.425777939845299e-08,7171999.2,7171999.2,7171999.2
112,-7.425302514837785e-08,-7.425302514837785e-08,-7.425302514837785e-08,7172006.4,7172006.4,7172006.4
113,-7.424825526399946e-08,-7.424825526399946e-08,-7.424825526399946e-08,7172013.600000001,7172013.600000001,7172013.600000001
114,-7.424346987510631e-08,-7.424346987510631e-08,-7.424346987510631e-08,7172020.8,7172020.8,7172020.8
115,-7.4238669113958e-08,-7.4238669113958e-08,-7.4238669113958e-08,7172028.0,7172028.0,7172028.0
116,-7.423385311528452e-08,-7.423385311528452e-08,-7.423385311528452e-08,7172035.2,7172035.2,7172035.2
117,-7.42290217473642e-08,-7.42290217473642e-08,-7.42290217473642e-08,7172042.4,7172042.4,7172042.4
118,-7.422417575060244e-08,-7.422417575060244e-08,-7.422417575060244e-08,7172049.600000001,7172049.600000001,7172049.600000001
119,-7.421931498330755e-08,-7.421931498330755e-08,-7.421931498330755e-08,7172056.8,7172056.8,7172056.8
120,-7.421443939316683e-08,-7.421443939316683e-08,-7.421443939316683e-08,7172064.0,7172064.0,7172064.0
121,-7.420954918021917e-08,-7.420954918021917e-08,-7.420954918021917e-08,7172071.2,7172071.2,7172071.2
122,-7.420464452628036e-08,-7.420464452628036e-08,-7.420464452628036e-08,7172078.4,7172078.4,7172078.4
123,-7.419972557509146e-08,-7.419972557509146e-08,-7.419972557509146e-08,7172085.600000001,7172085.600000001,7172085.600000001
124,-7.419479241908895e-08,-7.419479241908895e-08,-7.419479241908895e-08,7172092.8,7172092.8,7172092.8
125,-7.418984521522987e-08,-7.418984521522987e-08,-7.418984521522987e-08,7172100.0,7172100.0,7172100.0
126,-7.418488370849202e-08,-7.418488370849202e-08,-7.418488370849202e-08,7172107.2,7172107.2,7172107.2
127,-7.41799091832848e-08,-7.41799091832848e-08,-7.41799091832848e-08,7172114.4,7172114.4,7172114.4
128,-7.417492066076264e-08,-7.417492066076264e-08,-7.417492066076264e-08,7172121.600000001,7172121.600000001,7172121.600000001
